iter	Passed	Remaining
0	150	150025
1	152	75919
2	154	51226
3	156	38870
4	158	31466
5	160	26612
6	163	23220
7	165	20561
8	167	18488
9	169	16821
10	171	15463
11	174	14343
12	176	13401
13	177	12499
14	178	11749
15	180	11117
16	181	10491
17	182	9981
18	184	9520
19	185	9073
20	186	8681
21	187	8336
22	188	7992
23	188	7678
24	190	7417
25	191	7180
26	192	6943
27	193	6721
28	194	6512
29	195	6318
30	196	6134
31	197	5961
32	197	5800
33	198	5645
34	199	5497
35	200	5356
36	200	5226
37	201	5098
38	202	4978
39	202	4861
40	203	4751
41	203	4647
42	204	4555
43	205	4465
44	206	4376
45	206	4290
46	207	4206
47	208	4127
48	208	4050
49	209	3975
50	209	3903
51	210	3834
52	210	3767
53	211	3703
54	211	3641
55	212	3582
56	213	3524
57	213	3468
58	214	3414
59	214	3362
60	215	3311
61	215	3262
62	216	3215
63	216	3169
64	217	3125
65	217	3082
66	218	3041
67	218	3001
68	219	2962
69	220	2927
70	220	2890
71	221	2860
72	222	2827
73	223	2794
74	223	2761
75	224	2728
76	224	2696
77	225	2665
78	226	2635
79	226	2605
80	227	2576
81	227	2547
82	227	2517
83	228	2490
84	228	2464
85	229	2438
86	230	2413
87	230	2389
88	231	2365
89	231	2341
90	232	2319
91	232	2296
92	233	2274
93	233	2253
94	234	2232
95	234	2211
96	235	2192
97	236	2172
98	236	2154
99	237	2136
100	237	2117
101	238	2098
102	238	2080
103	239	2063
104	239	2045
105	240	2028
106	241	2012
107	241	1995
108	242	1979
109	242	1964
110	243	1947
111	243	1932
112	244	1917
113	244	1902
114	245	1887
115	245	1873
116	246	1858
117	246	1844
118	247	1830
119	247	1817
120	248	1804
121	248	1790
122	249	1777
123	249	1765
124	250	1753
125	251	1742
126	251	1730
127	252	1718
128	252	1707
129	253	1695
130	253	1684
131	254	1672
132	254	1661
133	255	1650
134	255	1640
135	256	1629
136	257	1619
137	257	1609
138	258	1599
139	258	1589
140	259	1579
141	259	1568
142	260	1559
143	260	1549
144	261	1540
145	261	1531
146	262	1522
147	262	1513
148	263	1504
149	263	1495
150	264	1486
151	265	1478
152	265	1470
153	266	1462
154	266	1454
155	267	1446
156	267	1438
157	268	1430
158	269	1423
159	269	1415
160	269	1406
161	270	1398
162	270	1390
163	271	1383
164	271	1375
165	272	1368
166	272	1361
167	273	1354
168	274	1347
169	274	1341
170	275	1334
171	275	1327
172	276	1320
173	276	1314
174	277	1307
175	277	1301
176	278	1294
177	278	1288
178	279	1282
179	280	1276
180	281	1271
181	281	1266
182	282	1261
183	283	1255
184	283	1249
185	284	1243
186	284	1237
187	285	1232
188	285	1226
189	286	1220
190	286	1215
191	287	1209
192	288	1204
193	288	1198
194	289	1193
195	289	1188
196	290	1182
197	290	1177
198	291	1172
199	291	1167
200	292	1162
201	293	1157
202	293	1152
203	294	1147
204	294	1143
205	295	1138
206	296	1134
207	296	1130
208	297	1125
209	297	1120
210	298	1116
211	299	1111
212	299	1107
213	300	1102
214	300	1098
215	301	1093
216	301	1089
217	302	1085
218	303	1080
219	303	1076
220	304	1072
221	304	1068
222	305	1064
223	306	1060
224	306	1056
225	307	1051
226	307	1048
227	308	1044
228	308	1040
229	309	1036
230	310	1032
231	310	1028
232	311	1025
233	312	1021
234	312	1017
235	313	1014
236	313	1010
237	314	1006
238	315	1003
239	315	999
240	316	995
241	316	992
242	317	988
243	317	984
244	318	981
245	319	978
246	319	974
247	320	971
248	320	967
249	321	964
250	322	961
251	322	958
252	323	954
253	323	951
254	324	948
255	325	945
256	326	942
257	326	939
258	327	936
259	327	933
260	328	930
261	329	927
262	329	923
263	330	920
264	330	917
265	331	914
266	332	911
267	332	908
268	333	905
269	333	902
270	334	899
271	334	896
272	335	893
273	335	890
274	336	887
275	337	884
276	337	881
277	338	878
278	338	875
279	339	872
280	340	870
281	340	867
282	341	865
283	342	863
284	343	860
285	343	858
286	344	855
287	345	853
288	345	850
289	346	847
290	346	845
291	347	842
292	348	840
293	348	837
294	349	834
295	349	832
296	350	829
297	351	827
298	351	824
299	352	821
300	352	819
301	353	816
302	354	814
303	354	811
304	355	809
305	355	807
306	356	805
307	357	803
308	358	800
309	358	798
310	359	796
311	360	793
312	360	791
313	361	789
314	361	786
315	362	784
316	362	782
317	363	779
318	364	777
319	364	775
320	365	772
321	365	770
322	366	768
323	367	766
324	367	763
325	368	761
326	368	759
327	369	757
328	370	755
329	371	753
330	371	751
331	372	749
332	373	747
333	374	745
334	374	743
335	375	741
336	375	739
337	376	737
338	377	735
339	377	733
340	378	731
341	379	729
342	379	727
343	380	724
344	380	722
345	381	720
346	382	718
347	382	716
348	383	714
349	383	712
350	384	710
351	384	708
352	385	706
353	386	704
354	387	703
355	387	701
356	388	699
357	389	697
358	389	695
359	390	693
360	390	691
361	391	689
362	392	688
363	392	686
364	393	684
365	393	682
366	394	680
367	395	678
368	395	676
369	396	674
370	396	672
371	397	670
372	397	668
373	398	666
374	398	664
375	399	663
376	400	661
377	400	659
378	401	657
379	402	656
380	403	654
381	403	653
382	404	651
383	404	649
384	405	647
385	406	645
386	406	644
387	407	642
388	407	640
389	408	638
390	408	636
391	409	635
392	410	633
393	410	631
394	411	629
395	411	628
396	412	626
397	412	624
398	413	622
399	414	621
400	414	619
401	415	617
402	415	616
403	416	614
404	417	612
405	417	611
406	418	609
407	419	608
408	419	606
409	420	604
410	420	603
411	421	601
412	422	599
413	422	598
414	423	596
415	423	595
416	424	593
417	425	591
418	425	590
419	426	588
420	426	586
421	427	585
422	427	583
423	428	582
424	429	580
425	429	578
426	430	577
427	430	575
428	431	574
429	432	572
430	432	571
431	433	570
432	434	568
433	434	566
434	435	565
435	435	563
436	436	562
437	436	560
438	437	559
439	438	557
440	438	556
441	439	554
442	439	553
443	440	551
444	440	549
445	441	548
446	442	546
447	442	545
448	443	543
449	443	542
450	444	540
451	444	539
452	445	537
453	445	536
454	446	534
455	447	533
456	448	532
457	448	530
458	449	529
459	449	528
460	450	526
461	451	525
462	451	523
463	452	522
464	452	521
465	453	519
466	453	518
467	454	516
468	455	515
469	455	513
470	456	512
471	456	511
472	457	509
473	457	508
474	458	506
475	459	505
476	459	504
477	460	502
478	460	501
479	461	500
480	462	498
481	463	497
482	463	496
483	464	495
484	465	493
485	465	492
486	466	491
487	466	489
488	467	488
489	468	487
490	468	485
491	469	484
492	469	483
493	470	481
494	470	480
495	471	479
496	472	477
497	472	476
498	473	475
499	473	473
500	474	472
501	474	471
502	475	469
503	476	468
504	476	467
505	477	466
506	478	464
507	478	463
508	479	462
509	480	461
510	480	460
511	481	458
512	481	457
513	482	456
514	483	454
515	483	453
516	484	452
517	484	451
518	485	449
519	485	448
520	486	447
521	487	446
522	487	444
523	488	443
524	488	442
525	489	441
526	490	439
527	490	438
528	491	437
529	491	436
530	492	434
531	493	433
532	493	432
533	494	431
534	495	430
535	495	429
536	496	427
537	496	426
538	497	425
539	497	424
540	498	423
541	499	421
542	499	420
543	500	419
544	500	418
545	501	417
546	502	415
547	502	414
548	503	413
549	503	412
550	504	411
551	505	409
552	505	408
553	506	407
554	506	406
555	507	405
556	508	404
557	508	402
558	509	401
559	510	400
560	510	399
561	511	398
562	511	397
563	512	396
564	513	394
565	513	393
566	514	392
567	514	391
568	515	390
569	515	389
570	516	387
571	516	386
572	517	385
573	518	384
574	518	383
575	519	382
576	519	381
577	520	380
578	521	378
579	521	377
580	522	376
581	522	375
582	523	374
583	524	373
584	525	372
585	525	371
586	526	370
587	526	369
588	527	368
589	528	366
590	528	365
591	529	364
592	529	363
593	530	362
594	530	361
595	531	360
596	532	359
597	532	358
598	533	356
599	533	355
600	534	354
601	534	353
602	535	352
603	536	351
604	536	350
605	537	349
606	537	348
607	538	347
608	539	346
609	540	345
610	540	344
611	541	343
612	541	342
613	542	341
614	543	340
615	543	338
616	544	337
617	544	336
618	545	335
619	546	334
620	546	333
621	547	332
622	547	331
623	548	330
624	549	329
625	549	328
626	550	327
627	550	326
628	551	325
629	552	324
630	552	323
631	553	322
632	554	321
633	554	320
634	555	319
635	556	318
636	557	317
637	557	316
638	558	315
639	559	314
640	559	313
641	560	312
642	560	311
643	561	310
644	562	309
645	562	308
646	563	307
647	564	306
648	564	305
649	565	304
650	566	303
651	566	302
652	567	301
653	567	300
654	568	299
655	569	298
656	569	297
657	570	296
658	571	295
659	571	294
660	572	293
661	572	292
662	573	291
663	574	290
664	574	289
665	575	288
666	575	287
667	576	286
668	576	285
669	577	284
670	578	283
671	578	282
672	579	281
673	579	280
674	580	279
675	581	278
676	581	277
677	582	276
678	582	275
679	583	274
680	584	273
681	585	272
682	585	271
683	586	270
684	586	269
685	587	268
686	587	267
687	588	266
688	589	265
689	589	264
690	590	263
691	590	262
692	591	262
693	592	261
694	592	260
695	593	259
696	593	258
697	594	257
698	594	256
699	595	255
700	596	254
701	596	253
702	597	252
703	597	251
704	598	250
705	599	249
706	599	248
707	600	247
708	601	246
709	601	245
710	602	244
711	602	243
712	603	242
713	604	241
714	604	241
715	605	240
716	605	239
717	606	238
718	607	237
719	607	236
720	608	235
721	608	234
722	609	233
723	609	232
724	610	231
725	611	230
726	611	229
727	612	228
728	612	227
729	613	226
730	614	226
731	614	225
732	615	224
733	616	223
734	616	222
735	617	221
736	618	220
737	618	219
738	619	218
739	619	217
740	620	216
